,Shared_log_likelihood,model_1_log_likelihood,model_2_log_likelihood,log_likelihood_ratio
SPNCRNA.674,-158.59765411079732,-83.71934442030303,-73.87901689516869,0.9992927953256014
SPAC22F3.12c,-145.44704484929477,-70.42273166821019,-75.95458979448578,-0.9302766134012188
SPAC22F3.09c,-200.4030757523996,-104.0444945647184,-100.54942118195152,-4.190839994270334
SPAC22F3.15,-152.88475367563484,-77.83513169341333,-78.1234867466026,-3.073864764381085
SPAC22F3.06c,-248.68363828634327,-128.8510268130862,-128.10450495212928,-8.271893478872157
SPAC22F3.04,-79.54612755048555,-41.585454853816685,-38.90352596942913,-0.94285327276026
SPATRNAVAL.02,-335.169181899979,-164.552479557202,-173.0003837834185,-2.38368144064151
SPAC22F3.02,-144.01291946285102,-75.88244288325579,-69.72227673834428,-1.5918001587490664
SPAC1296.01c,-231.7746771273121,-119.346864162626,-118.3966497709931,-5.968836806307023
SPAC1296.02,-229.75961100148152,-115.83944936255544,-119.57230564684863,-5.652144007922602
SPAPJ696.01c,-212.95788712726863,-108.63407738344485,-109.56024249627195,-5.236432752448137
SPAC1296.06,-185.30718077166213,-93.6599959529232,-96.5508569577944,-4.903672139055431
SPAC22G7.02,-219.87083056838418,-116.05357104680952,-113.08905771211374,-9.271798190539073
SPAC22G7.04,-230.10625297982293,-115.40281146532604,-119.60088505202835,-4.897443537531443
SPAC22G7.06c,-357.69922394340813,-183.8627471231944,-177.9382450220501,-4.1017682018363635
SPAC22G7.07c,-162.90547570677126,-84.45571332079747,-83.65148221789825,-5.2017198319244935
SPAC22G7.08,-173.85722871275098,-99.22053313818769,-98.99439838107945,-24.35770280651621
SPAC22G7.11c,-154.81766902111602,-90.83846396769393,-88.11300964629471,-24.133804592872647
