gene,sv_genes_spatialde,LLR_gpcounts,LLR_spatialde,sv_genes_gpcounts,gene_sh,llr_gpcounts_shuffled,LLR_shuffled,sv_genes_gpcounts_shuffled,sv_genes_spatialde_shuffled,sv_genes_spark
Gsn,,27.65320678,7.07408095,Gsn,1700095B22Rik,0.002856353,0.000973984,Sash1,,Mpp6
Atp1a2,,27.44898209,6.925605398,Atp1a2,1700096K18Rik,0,0.000964008,Trak2,,AI848285
Abl2,,27.31295875,11.97281089,Abl2,1700101I11Rik,0.055111145,1.872179574,Apc,,Mt2
Ifitm3,,27.27674909,2.913293826,Ifitm3,1700102P08Rik,0,0.000964011,Sparcl1,,Cplx1
Psd3,,27.12957875,8.938966575,Psd3,1700112E06Rik,0,0.00096401,Ptgds,,Cd63
Kcnj4,,27.03057615,6.042608686,Kcnj4,1700113A16Rik,0.00054998,0.023727176,Sepp1,,Gpm6b
Clca1,,26.53512525,5.245754374,Clca1,1700120K04Rik,0,0.00096401,Omp,,Rgcc
Cav1,,26.4464749,5.321025052,Cav1,1700123M08Rik,0,0.00096401,Igfbp5,,Rab3b
Ccnd2,,26.44141073,12.44374482,Ccnd2,1700123O20Rik,0.061765303,1.150105652,Kctd12,,Map1b
Slc4a4,,26.22607766,3.432041475,Slc4a4,1810009A15Rik,0.781105454,0.456915512,Mcf2l,,Synpo
Uqcrh,,26.19189765,2.566559994,Map2,1810010D01Rik,0.000616306,0.006328792,S100a5,,Chl1
Map2,,26.18753113,9.682030458,Uqcrh,1810010H24Rik,0,0.000964011,Scd1,,Yap1
Cplx1,,26.02641937,17.96649061,Cplx1,1810011H11Rik,0.043984564,0.068540525,Kif5b,,Tenc1
Mt1,,25.95276968,8.36047356,Mt1,1810011O10Rik,0,0.000964011,Apoe,,Trnp1
Eef1a1,,25.83275745,13.01939,Eef1a1,1810013L24Rik,0,0.000964012,Apod,,Bex2
Myo5a,,25.55328999,11.91109453,Myo5a,1810014B01Rik,0.092024355,0.000964005,Fabp7,,Ncan
Fkbp1a,,25.50265204,4.671207153,Fkbp1a,1810020O05Rik,1.14E-06,0.089548427,Fkbp1a,,Camkk2
Rcn2,,25.18947227,10.41281498,Plce1,1810022K09Rik,0.445489426,0.04089262,Sox10,,Prickle1
Plce1,,25.18721625,3.10988107,Rcn2,1810026B05Rik,0.07462975,0.00096401,Bai2,,Ahcyl2
Bai2,,25.01260265,5.116406344,Bai2,1810026J23Rik,0.00345982,0.000968874,Plce1,,Gpsm1
Sox10,,24.9959963,6.029346309,Sox10,1810030O07Rik,1.11484208,1.405771792,Rcn2,,Dclk1
Necab2,,24.7071457,14.21514662,Necab2,1810032O08Rik,0.041458829,0.15072274,Tspan15,,Wasf1
Tax1bp3,,24.67401427,4.574182054,Tax1bp3,1810033B17Rik,0,0.00096401,Celf2,,Rasa1
Dpf1,,24.39220419,9.608729865,Dpf1,1810037I17Rik,0,0.000964009,Trnp1,,Ptms
Olfm1,,24.27301708,13.49885036,Olfm1,1810041L15Rik,0.056116283,0.377035302,2010300C02Rik,,Eif1
Edil3,,24.21684609,3.084034602,Edil3,1810043G02Rik,2.514035271,2.41428981,H3f3a,,Sep-15
Nrep,,23.9141738,7.092947534,Nrep,1810043H04Rik,0,0.000964011,Prss23,,Psd3
Vstm4,,23.55035091,4.635423577,Hspa8,1810044D09Rik,0.00036483,0.551456026,Scd2,,Mest
Hspa8,,23.54831023,3.370896651,Vstm4,1810055G02Rik,5.87E-05,0.000964005,Gapdh,,Ctsd
Igf2,,23.33137286,1.753825082,Gm1821,1810058I24Rik,0.217635732,0.261315546,Camk2a,,Pbx1
Gm1821,,23.3307899,1.610368175,Igf2,1810062O18Rik,0,0.887688404,Map2k1,,Cdk5r1
Rcn1,,22.91355956,3.474003118,Rcn1,2010001M06Rik,0.115422986,4.273338355,Rragd,,Pcbp3
C1qtnf4,,22.88514941,2.95618382,C1qtnf4,2010002M12Rik,0.748385179,1.81982218,Wls,,Marcks
Wls,,22.81429738,3.164930783,Wls,2010003O02Rik,0.232066083,0.083575629,C1qtnf4,,Cadm3
Rragd,,22.65617528,4.385098879,Rragd,2010005H15Rik,0.014388021,0.124924212,Rcn1,,Adk
Map2k1,,22.60208243,3.173093607,Map2k1,2010012O05Rik,0,0.000964059,Gm1821,,Fgf13
Camk2a,,22.58482733,11.06344489,Camk2a,2010015L04Rik,9.39E-07,0.0009641,Igf2,,Cd81
Gapdh,,22.57564565,5.621395046,Gapdh,2010107E04Rik,0,0.000964009,Hspa8,,Fam3c
Scd2,,22.56648826,3.819386764,Scd2,2010107G23Rik,0.347378297,0.000964008,Vstm4,,Camk1d
Prss23,,22.43427694,4.103504269,Prss23,2010109I03Rik,3.51E-08,0.000964011,Nrep,,Trove2
H3f3a,,22.34736766,4.179841054,H3f3a,2010111I01Rik,0.715243033,1.559901535,Edil3,,Kif2a
2010300C02Rik,,22.31558576,4.494299443,2010300C02Rik,2010300C02Rik,0.692903978,0.846700457,Olfm1,,Atp1b1
Trnp1,,22.23291158,14.17381849,Trnp1,2010308F09Rik,0.010290193,0.637170389,Dpf1,,Gjb6
Celf2,,22.07221343,4.870728671,Celf2,2010315B03Rik,0.345099755,1.093144453,Tax1bp3,,Shisa2
Tspan15,,22.00977003,2.239107915,Tspan15,2010320M18Rik,0.33402009,0.000964008,Necab2,,Epb4.1l2
